Country,Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,Baseline_pos,Excess_pos,Excess_pos_lp,Excess_pos_up,Excess_epi,Excess_epi_up,Excess_epi_lp
Belgium,f,15,2799127.239856246,15,20.585345244996986,-5.585345244996987,-38,15,22.020771116449172,1.435425871452185,0,15,0,0,0
Belgium,f,20,2886935.803048797,15,21.81240207922438,-6.81240207922438,-39,15,22.969132711349665,1.1567306321252877,0,15,0,0,0
Belgium,f,25,3212297.7249292713,23,22.91743098432857,0.08256901567143027,-33,23,26.70985110499022,3.7924201206616535,0,23,4.499669574336992,7,1
Belgium,f,30,3339311.3110382953,31,30.772129754064302,0.22787024593569694,-36,31,36.93028185816626,6.15815210410196,1,31,11.176071856405272,17,3
Belgium,f,35,3409094.1369840098,46,50.75822589963446,-4.758225899634461,-52,34,55.18179344125053,4.423567541616066,0,34,0,0,0
Belgium,f,40,3328552.439088494,62,60.05483946731047,1.9451605326895312,-47.04999999999973,44,67.69167905043578,7.636839583125307,0,44,0,0,0
Belgium,f,45,3375171.1155226384,101,99.87139374606545,1.128606253934553,-63.024999999999864,57,108.38723447218122,8.515840726115778,0,57,14.024690266301144,20,7
Belgium,f,50,3520112.2757413853,173,163.5385128532336,9.461487146766384,-72,80,182.51315432085488,18.97464146762127,0,81,17.825604629830607,26,8
Belgium,f,55,3570668.695913341,312,261.4810996107481,50.518900389251854,-49,146,315.08801346838425,53.60691385763612,7,146,17.946518860698344,29,7
Belgium,f,60,3323995.268308738,442,371.74962884140666,70.25037115859334,-47,183.02499999999995,442,70.25037115859334,19,183.02499999999995,44.37138949613894,68.02499999999995,19
Belgium,f,65,2938812.378444165,632,472.7465783133576,159.25342168664244,23,284,639.0551634107841,166.30858509742652,66,284,179.1316557060594,276,73
Belgium,f,70,2638800.512230071,913,719.715190625905,193.28480937409495,25.950000000000273,352.025,925.2699573458546,205.5547667199495,99.97500000000014,352.025,196.95421712271354,286,100.97500000000014
Belgium,f,75,1899519.4739834496,1276,781.2840690698033,494.71593093019663,325,663,1276,494.71593093019663,339,663,531.385359530522,697,359
Belgium,f,80,1699323.1755603189,2284,1395.9553957818464,888.0446042181536,652,1117,2284,888.0446042181536,667,1117,992.3888645242116,1240,734
Belgium,f,85,1241422.2259034961,3422,2110.134866419149,1311.8651335808506,1018.9750000000001,1589.0749999999998,3422,1311.8651335808506,1071.9750000000001,1589.0749999999998,1597.4377166322827,1925.0749999999998,1253.9500000000003
Belgium,f,90,780419.302047278,4821,2738.9571436056394,2082.0428563943606,1755.9750000000001,2408,4821,2082.0428563943606,1791.9750000000001,2408,2818.334725258528,3444.0499999999997,2196.9000000000005
Belgium,f,All,52571028.58193215,14615,9399.846202718318,5215.153797281681,3199.8250000000007,7070.15,14732.666623404744,5332.820420686427,4062.925,7074.125,6425.476483458028,8035.15,4762.825000000001
Belgium,m,0,2939382.6281108153,23,61.61399228847201,-38.61399228847201,-91,5,61.61399228847201,0,0,5,0,0,0
Belgium,m,5,3108841.6546572573,14,12.508609895661678,1.4913901043383213,-22,14,15.947392670113949,3.438782774452271,0,14,0,0,0
Belgium,m,10,3100855.0299772504,12,13.347308496605258,-1.3473084966052589,-26,12,14.902568772407859,1.5552602758026004,0,12,0,0,0
Belgium,m,15,2957042.6918604476,20,20.192535385902126,-0.19253538590212438,-33,20,22.723286461033474,2.530751075131349,0,20,0,0,0
Belgium,m,20,3046012.5410675667,40,37.37543131813115,2.6245686818688494,-37.024999999999864,31,46.921313690034104,9.545882371902952,1,31,5.840623577532753,9,1
Belgium,m,25,3349627.859470206,43,48.05170725112047,-5.051707251120471,-52,33,53.03197564305175,4.980268391931278,0,33,0,0,0
Belgium,m,30,3371446.39369124,66,52.695442510694086,13.304557489305918,-34.024999999999864,50,68.56869253112409,15.873250020430007,2,50,12.264919079553891,20,2
Belgium,m,35,3404877.64721377,70,71.03165770695928,-1.031657706959285,-57.04999999999973,44,79.58751586470053,8.55585815774125,0,44,6.156653462055014,11,1
Belgium,m,40,3434950.989303524,100,100.15831341440794,-0.158313414407937,-64.02499999999986,53,112.64993684858537,12.49162343417743,0,53,0,0,0
Belgium,m,45,3538465.012315937,168,146.85760611165486,21.142393888345133,-54,88,172.62466006297507,25.767053951320193,1,88,10.682505075320236,18,1
Belgium,m,50,3653504.5036472073,314,239.12055269393238,74.8794473060676,-23.049999999999727,165,314,74.8794473060676,7.975000000000136,165,50.82964355515407,90,8.975000000000136
Belgium,m,55,3652448.077077717,482,359.8337801594971,122.16621984050292,3.9750000000001364,231.02499999999995,482,122.16621984050292,34,231.02499999999995,85.71681616084095,133.02499999999995,34
Belgium,m,60,3271187.103655755,706,597.2851419708239,108.7148580291761,-40.07499999999959,252.02499999999995,728.0553599534147,130.77021798259085,42.95000000000027,253.02499999999995,155.1680455927046,250.02499999999995,54.92500000000041
Belgium,m,65,2747884.3427865217,1118,783.0567615241794,334.94323847582064,169,499.025,1118,334.94323847582064,195,499.025,355.99149474182474,504.025,209
