"IFRs","Cases","Result","Country"
"Salje_Germany","Levin1",0.00870321276329902,"Spain"
"Salje_Spain","Levin1",0.00835983751059248,"Spain"
"Salje_Italy","Levin1",0.00875934790216819,"Spain"
"Salje_France","Levin1",0.00804818504096105,"Spain"
"Salje_Sweden","Levin1",0.00956333597386982,"Spain"
"Salje_China","Levin1",0.0122391688846559,"Spain"
"Salje_Japan","Levin1",0.00693663261848105,"Spain"
"Salje_Colombia","Levin1",0.0089459937078707,"Spain"
"Salje_Brazil","Levin1",0.00852379883286827,"Spain"
"Salje_USA","Levin1",0.00855640609191454,"Spain"
"Modi1_Germany","Levin1",0.00624748257491226,"Spain"
"Modi2_Germany","Levin1",0.00614351870548529,"Spain"
"Modi3_Germany","Levin1",0.00554864200173073,"Spain"
"Modi1_Spain","Levin1",0.00581476125892903,"Spain"
"Modi2_Spain","Levin1",0.00573819956445922,"Spain"
"Modi3_Spain","Levin1",0.00516183171493859,"Spain"
"Modi1_Italy","Levin1",0.0060500742903022,"Spain"
"Modi2_Italy","Levin1",0.00598165016264799,"Spain"
"Modi3_Italy","Levin1",0.00536832285462204,"Spain"
"Modi1_France","Levin1",0.00566054358819842,"Spain"
"Modi2_France","Levin1",0.00557390856038375,"Spain"
"Modi3_France","Levin1",0.00503004386077735,"Spain"
"Modi1_Sweden","Levin1",0.00648776431647781,"Spain"
"Modi2_Sweden","Levin1",0.00643708268153726,"Spain"
"Modi3_Sweden","Levin1",0.00575402840443225,"Spain"
"Modi1_China","Levin1",0.00864562362150466,"Spain"
"Modi2_China","Levin1",0.00856912029838096,"Spain"
"Modi3_China","Levin1",0.00766164637055408,"Spain"
"Modi1_Japan","Levin1",0.00500221842497599,"Spain"
"Modi2_Japan","Levin1",0.00489904891320203,"Spain"
"Modi3_Japan","Levin1",0.00444679502439193,"Spain"
"Modi1_Colombia","Levin1",0.00647132934865587,"Spain"
"Modi2_Colombia","Levin1",0.00634972394291884,"Spain"
"Modi3_Colombia","Levin1",0.00574847997765212,"Spain"
"Modi1_Brazil","Levin1",0.00642606339905049,"Spain"
"Modi2_Brazil","Levin1",0.00626793000937633,"Spain"
"Modi3_Brazil","Levin1",0.00571722496249102,"Spain"
"Modi1_USA","Levin1",0.00617269661140464,"Spain"
"Modi2_USA","Levin1",0.00605763298018858,"Spain"
"Modi3_USA","Levin1",0.00548962622783836,"Spain"
"Levin","Levin2",0.0173032922812716,"Spain"
"Verity","Levin2",0.0126572858173699,"Spain"
"Salje","Levin2",0.011123469068672,"Spain"
"Modi1","Levin2",0.00838206525695815,"Spain"
"Modi2","Levin2",0.0083190665451693,"Spain"
"Modi3","Levin2",0.00743190306480595,"Spain"
"Levin_p25","Levin2",0.0216291153515895,"Spain"
"Levin_m25","Levin2",0.0129774692109537,"Spain"
"Verity_p25","Levin2",0.0158216072717124,"Spain"
"Verity_m25","Levin2",0.00949296436302741,"Spain"
"Salje_p25","Levin2",0.01390433633584,"Spain"
"Salje_m25","Levin2",0.00834260180150403,"Spain"
"Verity_Germany","Levin2",0.00947670595156326,"Spain"
"Verity_Spain","Levin2",0.00882332458906729,"Spain"
"Verity_Italy","Levin2",0.00912780021005584,"Spain"
"Verity_France","Levin2",0.00863178124331442,"Spain"
"Verity_Sweden","Levin2",0.00970195305989963,"Spain"
"Verity_China","Levin2",0.0126572858173699,"Spain"
"Verity_Japan","Levin2",0.00774785169372465,"Spain"
"Verity_Colombia","Levin2",0.00979840981455513,"Spain"
"Verity_Brazil","Levin2",0.00975665291035338,"Spain"
"Verity_USA","Levin2",0.00940302252302415,"Spain"
"Salje_Germany","Levin2",0.011997699148647,"Spain"
"Salje_Spain","Levin2",0.0115705391591684,"Spain"
"Salje_Italy","Levin2",0.0121279243760303,"Spain"
"Salje_France","Levin2",0.011123469068672,"Spain"
"Salje_Sweden","Levin2",0.0132416634628784,"Spain"
"Salje_China","Levin2",0.0168057445331071,"Spain"
"Salje_Japan","Levin2",0.0095956429432839,"Spain"
"Salje_Colombia","Levin2",0.0122936067915781,"Spain"
"Salje_Brazil","Levin2",0.0116462007209167,"Spain"
"Salje_USA","Levin2",0.0117652161648521,"Spain"
"Modi1_Germany","Levin2",0.0086216272658749,"Spain"
"Modi2_Germany","Levin2",0.00851260488126752,"Spain"
"Modi3_Germany","Levin2",0.00764805054728861,"Spain"
"Modi1_Spain","Levin2",0.00805480530497736,"Spain"
"Modi2_Spain","Levin2",0.00798045674217765,"Spain"
"Modi3_Spain","Levin2",0.00714525874656069,"Spain"
"Modi1_Italy","Levin2",0.00838206525695815,"Spain"
"Modi2_Italy","Levin2",0.0083190665451693,"Spain"
"Modi3_Italy","Levin2",0.00743190306480595,"Spain"
"Modi1_France","Levin2",0.0078320483543873,"Spain"
"Modi2_France","Levin2",0.00774481719397836,"Spain"
"Modi3_France","Levin2",0.00695429240867449,"Spain"
"Modi1_Sweden","Levin2",0.00898470708604928,"Spain"
"Modi2_Sweden","Levin2",0.00894786195744483,"Spain"
"Modi3_Sweden","Levin2",0.0079615642708475,"Spain"
"Modi1_China","Levin2",0.0118614524389409,"Spain"
"Modi2_China","Levin2",0.011798846409179,"Spain"
"Modi3_China","Levin2",0.0104913453000221,"Spain"
"Modi1_Japan","Levin2",0.00693167662228905,"Spain"
"Modi2_Japan","Levin2",0.00681747252697859,"Spain"
"Modi3_Japan","Levin2",0.00615906381817748,"Spain"
"Modi1_Colombia","Levin2",0.00890248797723122,"Spain"
"Modi2_Colombia","Levin2",0.00877213166971215,"Spain"
"Modi3_Colombia","Levin2",0.00789600279858133,"Spain"
"Modi1_Brazil","Levin2",0.00879927019077736,"Spain"
"Modi2_Brazil","Levin2",0.00862073191595798,"Spain"
"Modi3_Brazil","Levin2",0.00781295380745871,"Spain"
"Modi1_USA","Levin2",0.00849842148272323,"Spain"
"Modi2_USA","Levin2",0.00837645940902434,"Spain"
"Modi3_USA","Levin2",0.00754747745554353,"Spain"
"Levin","Levin3",0.00611752879331426,"Spain"
"Verity","Levin3",0.00495812845365632,"Spain"
"Salje","Levin3",0.00391744388061914,"Spain"
"Modi1","Levin3",0.00291760823591079,"Spain"
"Modi2","Levin3",0.00284238384189544,"Spain"
"Modi3","Levin3",0.00259485862968881,"Spain"
"Levin_p25","Levin3",0.00764691099164283,"Spain"
"Levin_m25","Levin3",0.00458814659498569,"Spain"
"Verity_p25","Levin3",0.00619766056707041,"Spain"
"Verity_m25","Levin3",0.00371859634024224,"Spain"
"Salje_p25","Levin3",0.00489680485077393,"Spain"
"Salje_m25","Levin3",0.00293808291046436,"Spain"
"Verity_Germany","Levin3",0.00363236581031848,"Spain"
"Verity_Spain","Levin3",0.00331849211874583,"Spain"
"Verity_Italy","Levin3",0.00342472785838947,"Spain"
"Verity_France","Levin3",0.00327338852113754,"Spain"
"Verity_Sweden","Levin3",0.00364387959485813,"Spain"
"Verity_China","Levin3",0.00495812845365632,"Spain"
"Verity_Japan","Levin3",0.00291769747953327,"Spain"
"Verity_Colombia","Levin3",0.00382138865930521,"Spain"
"Verity_Brazil","Levin3",0.00390358443584454,"Spain"
"Verity_USA","Levin3",0.00365601839870943,"Spain"
"Salje_Germany","Levin3",0.00427517790388101,"Spain"
"Salje_Spain","Levin3",0.00404798316149885,"Spain"
"Salje_Italy","Levin3",0.00423559230690598,"Spain"
"Salje_France","Levin3",0.00391744388061914,"Spain"
"Salje_Sweden","Levin3",0.00462355670820659,"Spain"
"Salje_China","Levin3",0.00609495961647158,"Spain"
"Salje_Japan","Levin3",0.00336532221310418,"Spain"
"Salje_Colombia","Levin3",0.00444405418168718,"Spain"
"Salje_Brazil","Levin3",0.00432055566409234,"Spain"
"Salje_USA","Levin3",0.00424205641258774,"Spain"
"Modi1_Germany","Levin3",0.00305576581502065,"Spain"
"Modi2_Germany","Levin3",0.00295883164916843,"Spain"
"Modi3_Germany","Levin3",0.00272435066121791,"Spain"
"Modi1_Spain","Levin3",0.00280590597812524,"Spain"
"Modi2_Spain","Levin3",0.00272687266328306,"Spain"
"Modi3_Spain","Levin3",0.00249619964122902,"Spain"
"Modi1_Italy","Levin3",0.00291760823591079,"Spain"
"Modi2_Italy","Levin3",0.00284238384189544,"Spain"
"Modi3_Italy","Levin3",0.00259485862968881,"Spain"
"Modi1_France","Levin3",0.00274327345555312,"Spain"
"Modi2_France","Levin3",0.00265790142653114,"Spain"
"Modi3_France","Levin3",0.002443450456168,"Spain"
"Modi1_Sweden","Levin3",0.00313335638587971,"Spain"
"Modi2_Sweden","Levin3",0.00306453925633166,"Spain"
"Modi3_Sweden","Levin3",0.00278670544558217,"Spain"
"Modi1_China","Levin3",0.00431507168886231,"Spain"
"Modi2_China","Levin3",0.00422003068896327,"Spain"
"Modi3_China","Levin3",0.00384836608702547,"Spain"
"Modi1_Japan","Levin3",0.00241070492073562,"Spain"
"Modi2_Japan","Levin3",0.00232292157875047,"Spain"
"Modi3_Japan","Levin3",0.00214579467771845,"Spain"
"Modi1_Colombia","Levin3",0.00320087405912345,"Spain"
"Modi2_Colombia","Levin3",0.003091093248591,"Spain"
"Modi3_Colombia","Levin3",0.00285739098397242,"Spain"
